CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
CCL13_CCR5,ADAM9_ITGB5,SFRP4_WNT16,CCL11_CCR3,
CCL13_CCR3,ADCYAP1_ADCYAP1R1,SFRP1_WNT16,CCL11_CCR5,
CCL13_ACKR4,ADCYAP1_VIPR1,SFRP2_WNT16,CCL11_CXCR3,
CCL13_CXCR3,ADCYAP1_VIPR2,CCL25_ACKR4,CCL13_ACKR2,
CCL13_CCR9,ADIPOQ_ADIPOR1,CCL11_CCR3,CCL13_ACKR4,
COL1A1_CD44,ADIPOQ_ADIPOR2,SFRP4_WNT2B,CCL13_CCR2,
COL1A1_ITGB1,ADM2_CALCR,FRZB_WNT2B,CCL13_CCR3,
COL1A1_ITGAV,ADM2_CALCRL,CCL24_CCR2,CCL13_CCR5,
COL1A1_CD36,ADM2_RAMP1,EGF_NRG1,CCL13_CXCR3,
COL1A1_ITGA1,ADM_CALCR,FCER2_CR2,CCL14_ACKR2,
COL1A1_ITGA2,ADM_CALCRL,FGF1_FGFR1,CCL14_CCR1,
COL1A1_ITGA5,ADM_GPR182,TGFB1_TGFBR3,CCL14_CCR3,
COL1A1_CD93,ADM_RAMP2,KIR2DL3_FAM3C,CCL14_CCR5,
COL1A1_FLT4,AGRN_ATP1A3,FGF2_FGFR2,CCL15_CCR1,
COL1A1_DDR2,AGRN_LRP4,THBS1_CD36,CCL15_CCR3,
COL1A1_ITGA11,AGRN_MUSK,TNF_PTPRS,CCL16_CCR1,
COL1A1_TMPRSS6,AGRP_MC3R,DLL1_NOTCH1,CCL16_CCR2,
COL1A1_DDR1,AGRP_MC4R,TNFSF13_TNFRSF1A,CCL16_CCR5,
EFNB3_EPHB6,AGRP_MC5R,TNFRSF13B_CD70,CCL16_CCR8,
EFNB3_EPHB4,AGRP_SDC3,C3_C5AR2,CCL16_HRH4,
EFNB3_EPHB1,AGT_AGTR1,CXADR_FAM3C,CCL17_ACKR2,
EFNB3_EPHB3,AGT_LRP2,IL1B_ADRB2,CCL17_CCR4,
EFNB3_EPHB2,ALB_LRP2,EGFR_EGF,CCL17_CCR8,
EFNB3_EPHA4,ALOX5AP_ALOX5,EGFR_TGFB1,CCL18_CCR3,
EFNB3_RHBDL2,AMH_ACVR1,PYY_DPP4,CCL18_CCR8,
VTN_ITGB5,AMH_AMHR2,TGFB1_AR,CCL18_PITPNM3,
VTN_ITGB1,AMH_EGFR,TNFRSF21_APP,CCL19_ACKR2,
VTN_ITGB6,ANGPT1_ITGA5,CEACAM1_SELE,CCL19_ACKR4,
VTN_ITGAV,ANGPT1_ITGB1,CD44_SIGLEC15,CCL19_CCR10,
VTN_ITGB8,ANGPT1_TEK,C4A_C5AR2,CCL19_CCR7,
VTN_PLAUR,ANGPT1_TIE1,TFF1_ESR2,CCL19_CCRL2,
VTN_ITGA5,ANGPT2_TEK,PDCD1_CD274,CCL19_CXCR3,
VTN_ITGA8,ANGPT2_TIE1,TNFRSF10C_TNFSF10,CCL2_ACKR2,
VTN_CD47,ANGPT4_TEK,SLIT2_ROBO1,CCL2_ACKR4,
VTN_KDR,ANGPT4_TIE1,VEGFA_EPHB2,CCL2_CCR1,
VTN_ITGA2B,ANGPTL1_TEK,CD70_GPRC5B,CCL2_CCR10,
VTN_TNFRSF11B,ANGPTL2_TIE1,IGF2_IDE,CCL2_CCR2,
VTN_PVR,ANGPTL3_ITGA5,C5_C5AR1,CCL2_CCR3,
VTN_ITGA3,ANGPTL3_ITGAV,IGF2_IGF1R,CCL2_CCR4,
IBSP_ITGAV,ANGPTL4_TIE1,CEACAM1_CD209,CCL2_CCR5,
CXCL6_ADRA2A,ANXA1_DYSF,GRIN2B_IL16,CCL20_ACKR4,
CXCL6_MTNR1A,ANXA1_EGFR,EPHA2_EFNA4,CCL20_CCR6,
CXCL6_GRM7,ANXA1_FPR1,EPHA3_EFNA5,CCL20_CXCR3,
CXCL6_CXCR2,ANXA1_FPR2,ADIPOQ_CD200R1,CCL21_ACKR2,
